Zone,Bus_id,Type,Capacity (MWh),Max Power (MW),Charging efficiency,Discharging efficiency,Cost ($/MWh),EF,CC,Charging Rate,Discharging Rate
Amprion,B784,BES,160.0,80.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B791,BES,5.0,2.5,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B86,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B95,BES,5.33,2.665,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B96,BES,1.6,0.8,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B99,BES,0.45,0.225,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B10,BES,8.0,4.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B127,BES,12.6,6.3,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B127,PHS,3019.2,377.4,0.84,0.84,0.5,0.0,0.95,1.0,1.0
TenneT,B13,BES,6.96,3.48,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B131,BES,0.45,0.225,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B134,BES,4.0,2.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B143,BES,19.8,9.9,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B144,BES,1.96,0.98,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B172,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B198,BES,0.24,0.12,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B226,BES,2.0,1.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B243,BES,12.4,6.2,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B261,BES,7.0,3.5,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B278,BES,27.93,13.965,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B284,PHS,638.4,79.8,0.84,0.84,0.5,0.0,0.95,1.0,1.0
TenneT,B285,BES,9.16,4.58,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B286,BES,2.4000000000000004,1.2000000000000002,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B286,PHS,952.8,119.1,0.84,0.84,0.5,0.0,0.95,1.0,1.0
TenneT,B299,BES,10.879999999999999,5.4399999999999995,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B30,BES,13.58,6.79,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B312,BES,4.8,2.4,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B313,BES,0.24,0.12,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B314,BES,25.7,12.85,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B315,BES,29.7,14.85,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B316,BES,14.06,7.03,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B32,BES,38.554,19.277,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B325,BES,68.17,34.085,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B326,BES,56.86,28.43,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B326,PHS,1280.0,160.0,0.84,0.84,0.5,0.0,0.95,1.0,1.0
TenneT,B327,BES,4.7,2.35,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B328,BES,13.28,6.64,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B33,BES,6.072,3.036,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B332,BES,26.768,13.384,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B361,BES,1.52,0.76,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B368,BES,22.195999999999998,11.097999999999999,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B380,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B40,BES,13.8,6.9,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B404,BES,10.799999999999999,5.3999999999999995,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B41,BES,48.0,24.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B413,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B416,BES,1.5,0.75,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B42,BES,0.24,0.12,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B430,BES,38.62,19.31,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B445,BES,21.560000000000002,10.780000000000001,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B448,BES,3.2,1.6,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B450,BES,38.732,19.366,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B452,BES,0.268,0.134,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B455,BES,22.119999999999997,11.059999999999999,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B456,BES,50.94,25.47,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B458,BES,15.8,7.9,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B461,BES,0.6779999999999999,0.33899999999999997,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B476,BES,10.0,5.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B481,BES,65.88,32.94,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B482,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B483,BES,11.984,5.992,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B485,BES,23.674,11.837,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B486,BES,50.00672,25.00336,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B487,BES,50.5064,25.2532,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B489,BES,64.336,32.168,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B498,BES,33.032000000000004,16.516000000000002,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B499,BES,35.016,17.508,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B505,BES,2.0,1.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B509,BES,69.964,34.982,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B509,PHS,8416.0,1052.0,0.84,0.84,0.5,0.0,0.95,1.0,1.0
TenneT,B515,BES,1.8,0.9,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B516,BES,2.95,1.475,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B522,BES,12.04,6.02,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B525,BES,1.6,0.8,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B533,BES,0.6,0.3,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B543,BES,1.48,0.74,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B545,BES,12.574,6.287,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B547,BES,1.2999999999999998,0.6499999999999999,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B549,BES,52.46,26.23,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B551,BES,21.4,10.7,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B552,BES,3.12,1.56,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B553,BES,33.943999999999996,16.971999999999998,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B554,BES,9.962,4.981,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B555,BES,15.2,7.6,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B558,BES,71.688,35.844,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B558,PHS,1216.8,152.1,0.84,0.84,0.5,0.0,0.95,1.0,1.0
TenneT,B561,BES,22.832639999999998,11.416319999999999,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B563,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B571,BES,96.0,48.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B577,BES,0.3,0.15,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B578,BES,4.0,2.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B591,BES,0.3,0.15,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B603,BES,2.82,1.41,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B608,BES,0.5,0.25,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B609,BES,0.47400000000000003,0.23700000000000002,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B615,BES,14.3048,7.1524,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B646,BES,2.75,1.375,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B650,BES,8.4,4.2,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B655,BES,6.0,3.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B668,BES,10.112,5.056,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B688,BES,20.57,10.285,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B690,BES,2.05,1.025,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B691,BES,0.32,0.16,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B692,BES,90.0,45.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B698,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B70,BES,4.96,2.48,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B703,PHS,1600.0,200.0,0.84,0.84,0.5,0.0,0.95,1.0,1.0
TenneT,B705,BES,6.75,3.375,0.9,0.9,1.0,0.0,0.95,0.5,1.0
TenneT,B705,PHS,736.0,92.0,0.84,0.84,0.5,0.0,0.95,1.0,1.0
TenneT,B708,BES,4.34,2.17,0.9,0.9,1.0,0.0,0.95,0.5,1.0
