Interface,Bus_id,State,LoadZone,Latitude,Longitude,Demand_MW,DistanceMiles,Weight,IsAnchor,CentroidLatitude,CentroidLongitude
HQHIGATE,197,NH,NH,43.46372564382828,-71.13355875825283,101.66867211001288,106.52998236194973,0.005693636136039647,False,44.483667697984295,-72.6425039057059
HQHIGATE,25,NH,NH,43.1883076602439,-71.52175150609183,154.11622901420574,107.31776028634063,0.006971408177994395,False,44.483667697984295,-72.6425039057059
HQHIGATE,127,NH,NH,43.07016457560392,-71.772723543403,63.935969058874086,107.87721834854148,0.004472757434655278,False,44.483667697984295,-72.6425039057059
HQHIGATE,153,NH,NH,43.41339401041418,-71.06860806351624,192.5170305676856,111.40900685424688,0.007576076912601805,False,44.483667697984295,-72.6425039057059
HQHIGATE,126,NH,NH,43.02390227342092,-71.71734276039054,19.26033834586466,112.02488509190552,0.0023864157167065047,False,44.483667697984295,-72.6425039057059
HQHIGATE,215,ME,ME,43.98907401068311,-70.55091209076761,23.11730545876887,115.98853479784978,0.002547166497614244,False,44.483667697984295,-72.6425039057059
HQHIGATE,168,NH,NH,43.00311993288697,-71.60281091952973,39.1285393258427,116.07168522073908,0.0033120899692208267,False,44.483667697984295,-72.6425039057059
HQHIGATE,137,NH,NH,43.21316274516468,-71.16163577731389,192.5170305676856,117.66553603390005,0.007271895744182123,False,44.483667697984295,-72.6425039057059
HQHIGATE,47,ME,ME,44.03856528936608,-70.45692249704892,8.60348292029471,119.83808646510239,0.0015163205681490567,False,44.483667697984295,-72.6425039057059
HQHIGATE,21,NH,NH,43.14921817180836,-71.14266963225049,208.7598699489085,121.64304589886694,0.007385979008964817,False,44.483667697984295,-72.6425039057059
HQHIGATE,8,ME,ME,44.44398370593803,-70.3457991953125,70.24584103512015,121.75614342590956,0.004281462755993908,False,44.483667697984295,-72.6425039057059
HQHIGATE,37,NH,NH,42.92984463704671,-71.54751184702674,31.80371352785146,121.91312233290483,0.0028780683306960683,False,44.483667697984295,-72.6425039057059
HQHIGATE,130,NH,NH,43.016311092933776,-71.34422720436702,122.63128491620112,122.41613485325442,0.005634062585261295,False,44.483667697984295,-72.6425039057059
HQHIGATE,65,ME,ME,44.13318395617949,-70.36467733105594,5.638179800221976,123.12317067579924,0.0012028587792679182,False,44.483667697984295,-72.6425039057059
HQHIGATE,207,ME,ME,44.10060364676848,-70.36046055755622,13.0188679245283,123.802708351222,0.0018202834741505925,False,44.483667697984295,-72.6425039057059
HQHIGATE,57,ME,ME,44.21373421677811,-70.32887779701386,10.511538461538462,124.02864933343389,0.0016333966330168742,False,44.483667697984295,-72.6425039057059
