OSMType,OSMId,Name,SubstationType,VoltageTag,VoltageKV,Circuits,Operator,Ref,Latitude,Longitude,AnchorWeight
way,142431633,Massena Substation,transmission,765000;345000,765.0,1,New YorK Power Authority,,44.921267,-74.835276,6.652174
way,142717879,Mason Substation,transmission,345000;115000,345.0,1,Central Maine Power Company,,43.991099,-69.67158,3.0
way,142752400,Maine Yankee 345kV Substation,transmission,345000,345.0,1,Central Maine Power Company,,43.953598,-69.695429,3.0
way,142856223,,generation,115000,115.0,1,,,43.249391,-73.808951,1.0
way,143582454,,transition,115000,115.0,1,,,42.691514,-73.804463,1.0
way,143914257,Poste de la Chaudière,transmission,230000;120000;69000,230.0,1,Hydro-Québec,,46.699185,-71.29618,2.0
way,144460903,Pilgrim Substation,generation,345000,345.0,1,Entergy,,41.943433,-70.579668,3.0
way,144460919,Jordan Tap,transmission,345000,345.0,1,Eversource,,41.906808,-70.62939,3.0
way,144460920,Snake Hill Road Tap,transmission,345000,345.0,1,Eversource,,41.882126,-70.656305,3.0
way,144460925,Canal Substation,transmission,345000;115000,345.0,1,Eversource,980,41.769211,-70.510773,3.0
way,144805940,Carver Substation,transmission,345000;115000,345.0,1,Eversource,,41.897942,-70.788291,3.0
way,145014683,Berry Street Substation,transmission,345000;115000,345.0,1,National Grid,,42.020178,-71.3353,3.0
way,148479231,Ryan Substation,transmission,230000,230.0,1,New York Power Authority,,44.89105,-73.985831,2.0
way,162312930,West Amesbury Substation,transmission,345000;115000,345.0,1,National Grid,,42.832957,-70.972325,3.0
way,162320148,,transition,115000,115.0,1,,,42.960654,-73.780387,1.0
way,164187904,Graham Substation,transmission,115000,115.0,1,Versant Power,,44.824313,-68.705477,1.0
way,165782020,"Poste Leclercville, HDVC",transition,450000,450.0,1,Hydro-Québec,,46.593622,-71.971974,3.913043
way,165782022,"Poste Grondines, HDVC",transition,450000,450.0,1,Hydro-Québec,,46.62586,-72.014678,3.913043
way,166474302,Poste de Saraguay,transmission,315000;12000,315.0,1,Hydro-Québec,,45.505722,-73.747997,2.73913
way,167686244,Livermore Falls Substation,transmission,115000,115.0,1,Central Maine Power Company,,44.47817,-70.171467,1.0
way,168012274,Graham 46kV Substation,transmission,46000,46.0,1,Bangor Hydro-Electric Company,,44.82245,-68.708609,1.0
way,168115738,Poste de Chomedey,transmission,315000;120000,315.0,1,Hydro-Québec,,45.561309,-73.803788,2.73913
way,168279627,,transmission,,,1,Bangor Hydro-Electric Company,,44.776273,-68.776984,1.0
way,170763759,Ivaco TS,transmission,230000,230.0,1,Hydro One,,45.61296,-74.707376,2.0
way,175648229,Coopers Corners Substation,transmission,345000;115000,345.0,1,NYSEG,,41.669589,-74.76131,3.0
way,175766520,Duley Substation,transmission,230000,230.0,1,New York Power Authority,,44.831535,-73.63667,2.0
way,175766529,Plattsburgh Substation,transmission,230000;115000,230.0,1,New York Power Authority,,44.759469,-73.493941,2.0
way,175766583,Willis Substation,transmission,345000;230000,345.0,1,New York Power Authority,,44.889261,-74.118493,3.0
way,175921874,South Mahwah,transmission,345000,345.0,1,Orange & Rockland,59,41.086578,-74.145991,3.0
way,175926062,Ladentown Substation,transmission,345000,345.0,1,Orange & Rockland,56,41.183878,-74.076029,3.0
way,176696219,,transmission,115000,115.0,1,,,41.575425,-74.077775,1.0
way,176696227,,generation,115000,115.0,1,,,41.573428,-73.965277,1.0
way,176696229,,transition,,,1,,,41.570043,-73.968396,1.0
way,184564045,Poste La Vérendrye,transmission,735000,735.0,1,Hydro-Québec,,47.497547,-74.935716,6.391304
way,184849496,Needham Transition Station,transition,115000,115.0,1,Eversource,,42.255664,-71.232138,1.0
way,188140536,Middletown Tap 2,transmission,345000;138000,345.0,1,Orange & Rockland Utiities Inc,,41.422925,-74.403954,3.0
way,197389032,,transmission,115000,115.0,1,,,42.277536,-74.93456,1.0
way,201247095,Poste des Appalaches,transmission,735000;230000,735.0,1,Hydro-Québec,,46.134217,-71.396262,6.391304
way,206130537,,transmission,230000,230.0,1,Hydro-Québec,,47.443003,-72.798031,2.0
way,208002705,,transmission,138000,138.0,1,Orange & Rockland,,41.309078,-74.259759,1.2
way,214276153,,transmission,,,1,BOSTON EDISON COMPANY,,42.433844,-71.19066,1.0
way,232194254,Poste de Deschambault,transmission,315000,315.0,1,Hydro-Québec,,46.70201,-71.936489,2.73913
way,238796878,Stony Brook Substation,transmission,345000;115000,345.0,1,Massachusetts Municipal Wholesale Electric Company,,42.198006,-72.508587,3.0
way,243833492,Fairmont Switching Station,transmission,115000,115.0,1,Eversource,,42.198825,-72.58951,1.0
way,248610189,,transition,115000,115.0,1,Eversource,,42.487558,-73.218761,1.0
way,255501930,Fairfield Station,generation,115000,115.0,1,National Grid,,43.062556,-74.899392,1.0
way,308579947,West Barnstable Substation,transmission,345000;115000,345.0,1,Eversource,,41.68592,-70.35024,3.0
way,309504538,Fair Lawn Substation,transmission,230000;138000;69000;26000,230.0,1,PSE&G,,40.949305,-74.128785,2.0
way,310702004,Churchtown Substation,transmission,115000,115.0,1,NYSEG,,42.193126,-73.742675,1.0
way,321933884,Albany Steam Substation,generation,115000,115.0,1,,,42.594911,-73.762431,1.0
way,322386583,,transmission,115000,115.0,1,,,42.573837,-73.859835,1.0
way,322402551,Poste Montérégie,transmission,735000;120000,735.0,1,Hydro-Québec,,45.499039,-72.713417,6.391304
way,323014598,,generation,115000,115.0,1,,,42.624579,-73.750258,1.0
way,323014599,Besicorp Empire Substation,transmission,345000,345.0,1,National Grid,,42.6241,-73.748687,3.0
way,327192655,Manchester Substation,transmission,115000,115.0,1,Central Hudson,,41.689106,-73.879873,1.0
way,327414428,Bridgeport Energy Substation,generation,115000,115.0,1,United Illuminating Company,,41.16994,-73.18536,1.0
way,358724049,,transition,115000,115.0,1,,,42.627212,-73.765354,1.0
way,368310186,Timber Swamp Substation,transmission,345000;34500,345.0,1,Eversource,,42.949941,-70.868523,3.0
way,382290105,Swift's Beach Tap,transition,115000,115.0,1,Town of Braintree Light Department,,42.228717,-70.962626,1.0
way,382666388,,transition,115000,115.0,1,,,42.185242,-73.653856,1.0
way,382666391,,transition,115000,115.0,1,,,42.182847,-73.653206,1.0
way,383037049,Hyde Park Substation,transmission,345000;115000;13800,345.0,1,Eversource,496,42.27371,-71.120633,3.0
way,383055667,Cleary-Flood Substation,generation,115000,115.0,1,Taunton Municipal Lighting Plant,,41.865309,-71.105457,1.0
way,383102704,Academy Substation,transmission,345000;138000,345.0,1,Consolidated Edison,,40.859973,-73.919033,3.0
way,383474535,,transition,138000,138.0,1,,,41.136055,-74.029689,1.2
way,383474548,,transition,138000,138.0,1,,,41.144012,-74.028096,1.2
way,387265182,Eastover Road Station,transmission,230000;115000,230.0,1,National Grid,2931,42.800165,-73.629139,2.0
