from_bus,to_bus,From_zone,To_zone,Capacity (MW),X,Miles,Seam,FlagTargetRewire,FromLoadZone,ToLoadZone
239,141,Maine,Maine,623.25,0.006824,37.568703450625854,Maine-Maine,False,ME,ME
184,185,Maine,Maine,50.0,0.14,37.30940310713467,Maine-Maine,False,ME,ME
174,180,Maine,Maine,530.03,0.008773,36.65828610198926,Maine-Maine,False,ME,ME
184,15,Maine,Maine,541.39,0.042042,36.61221736837114,Maine-Maine,False,ME,ME
77,84,SENE,SENE,304.04,0.069744,36.300597907098506,SENE-SENE,False,RI,SEMA
218,219,SENE,SENE,530.03,0.011849,36.28347279099421,SENE-SENE,False,RI,SEMA
187,9,Maine,Maine,530.03,0.047422,36.209069572655764,Maine-Maine,False,ME,ME
189,69,Maine,Maine,530.03,0.007735,35.90769868544084,Maine-Maine,False,ME,ME
48,150,Maine,Maine,530.03,0.024436,35.120230526507015,Maine-Maine,False,ME,ME
10,188,Maine,Maine,3200.0,0.00375,35.045372989889884,Maine-Maine,False,ME,ME
29,84,SENE,SENE,283.0,0.091679,34.49797591090049,SENE-SENE,False,RI,SEMA
40,43,NNE,NNE,530.03,0.02314,34.36317055176541,NNE-NNE,False,VT,VT
60,63,Maine,Maine,107.32,0.040671,33.82780699870606,Maine-Maine,False,ME,ME
12,11,Maine,Maine,100.0,0.0435,33.578573669196146,Maine-Maine,False,ME,ME
236,153,NNE,NNE,530.03,0.008649,33.542420603441045,NNE-NNE,False,NH,NH
19,118,ROP,ROP,474.7,0.013449,33.23862616364737,ROP-ROP,False,CT,CT
4,75,Maine,Maine,107.32,0.038117,33.14970938491067,Maine-Maine,False,ME,ME
4,182,Maine,Maine,300.0,0.04,32.96421720811401,Maine-Maine,False,ME,ME
236,238,NNE,NNE,530.03,0.020868,32.39591150647525,NNE-NNE,False,NH,NH
212,209,Maine,Maine,530.03,0.008143,32.171293558546864,Maine-Maine,False,ME,ME
140,239,Maine,Maine,800.0,0.015,32.00465206198957,Maine-Maine,False,ME,ME
170,171,Maine,Maine,107.32,0.033624,31.19041165723162,Maine-Maine,False,ME,ME
74,216,Maine,Maine,530.03,0.004357,31.184556635159563,Maine-Maine,False,ME,ME
204,219,SENE,SENE,530.03,0.026021,30.933745899502156,SENE-SENE,False,NEMA/Boston,SEMA
49,65,Maine,Maine,474.7,0.037712,30.93211918337757,Maine-Maine,False,ME,ME
192,193,Maine,Maine,100.0,0.07,30.737787744596197,Maine-Maine,False,ME,ME
50,65,Maine,Maine,237.35,0.037515,30.465237974711158,Maine-Maine,False,ME,ME
199,115,ROP,ROP,530.03,0.007492,30.129836663200106,ROP-ROP,False,CT,CT
183,52,Maine,Maine,707.51,0.021637,30.128807151945946,Maine-Maine,False,ME,ME
64,214,Maine,Maine,700.0,0.017143,29.9366482534904,Maine-Maine,False,ME,ME
200,97,ROP,ROP,868.25,0.014828,29.86925025594763,ROP-ROP,False,WCMA,CT
46,47,Maine,Maine,212.01,0.106284,29.72247983975382,Maine-Maine,False,ME,ME
8,187,Maine,Maine,700.0,0.01,29.67769037305089,Maine-Maine,False,ME,ME
191,56,Maine,Maine,1246.5,0.008151,29.49443568879905,Maine-Maine,False,ME,ME
206,45,Maine,Maine,530.03,0.002856,28.963947249096115,Maine-Maine,False,ME,ME
185,189,Maine,Maine,1246.5,0.016354,28.83558780148012,Maine-Maine,False,ME,ME
6,70,Maine,Maine,107.32,0.077688,28.050360728273592,Maine-Maine,False,ME,ME
201,238,NNE,NNE,530.03,0.033478,28.02413438896896,NNE-NNE,False,NH,NH
99,138,ROP,ROP,530.03,0.006265,27.93440778278974,ROP-ROP,False,CT,CT
224,230,ROP,ROP,530.03,0.011166,27.83838245763328,ROP-ROP,False,CT,CT
193,194,Maine,Maine,530.03,0.014398,27.092055427640265,Maine-Maine,False,ME,ME
45,212,Maine,Maine,652.53,0.009761,27.079375637118638,Maine-Maine,False,ME,ME
135,153,NNE,NNE,760.09,0.002803,26.9703334310899,NNE-NNE,False,NH,NH
19,196,ROP,ROP,100.0,0.12,25.965512092818987,ROP-ROP,False,CT,CT
6,184,Maine,Maine,550.0,0.014545,25.694305406277056,Maine-Maine,False,ME,ME
28,77,SENE,SENE,250.0,0.156472,25.66547405779913,SENE-SENE,False,NEMA/Boston,RI
2,181,NNE,NNE,530.03,0.052755,25.638122628633663,NNE-NNE,False,VT,VT
17,145,Maine,Maine,107.32,0.104525,25.581826450166954,Maine-Maine,False,ME,ME
186,187,Maine,Maine,652.53,0.015578,25.56873569586454,Maine-Maine,False,ME,ME
208,209,Maine,Maine,50.0,0.14,25.371869645702485,Maine-Maine,False,ME,ME
61,143,Maine,Maine,395.58,0.016137,25.356337423712432,Maine-Maine,False,ME,ME
197,235,NNE,NNE,178.87,0.034927,25.323017081355953,NNE-NNE,False,NH,NH
147,240,ROP,ROP,200.0,0.04,25.22282311257539,ROP-ROP,False,CT,CT
12,13,Maine,Maine,100.0,0.12,24.984421005240325,Maine-Maine,False,ME,ME
6,31,Maine,Maine,1100.0,0.025,24.856945323510494,Maine-Maine,False,ME,ME
5,8,Maine,Maine,578.83,0.039331,24.778399414011684,Maine-Maine,False,ME,ME
51,72,Maine,Maine,304.04,0.007194,24.428449554800885,Maine-Maine,False,ME,ME
192,61,Maine,Maine,312.32,0.025655,24.132627556856036,Maine-Maine,False,ME,ME
23,36,ROP,ROP,1000.0,0.0272,24.100215938227503,ROP-ROP,False,CT,CT
46,207,Maine,Maine,450.0,0.017778,23.84069134068358,Maine-Maine,False,ME,ME
2,39,NNE,NNE,530.03,0.060198,23.796525292469266,NNE-NNE,False,VT,VT
125,129,NNE,NNE,107.32,0.052625,23.745679921346316,NNE-NNE,False,NH,NH
203,205,SENE,SENE,353.36,0.079203,23.732736444651557,SENE-SENE,False,NEMA/Boston,RI
94,95,ROP,ROP,124.05,0.044873,23.708566813362545,ROP-ROP,False,CT,CT
125,236,NNE,NNE,450.0,0.026667,23.15366724332774,NNE-NNE,False,NH,NH
14,190,Maine,Maine,600.0,0.011667,23.07974799396981,Maine-Maine,False,ME,ME
14,177,Maine,Maine,229.46,0.067761,22.590185041606002,Maine-Maine,False,ME,ME
61,213,Maine,Maine,300.0,0.023333,22.467893516778386,Maine-Maine,False,ME,ME
2,30,NNE,NNE,1000.0,0.0181,22.438717103621126,NNE-NNE,False,VT,VT
185,58,Maine,Maine,530.03,0.015152,22.37134513197783,Maine-Maine,False,ME,ME
19,33,ROP,ROP,1000.0,0.0142,22.176234910592534,ROP-ROP,False,CT,CT
188,190,Maine,Maine,1186.75,0.017964,22.006985029470044,Maine-Maine,False,ME,ME
57,60,Maine,Maine,107.32,0.042258,21.969207955608656,Maine-Maine,False,ME,ME
194,202,Maine,Maine,530.03,0.090882,21.94837245397373,Maine-Maine,False,ME,ME
3,181,NNE,NNE,400.0,0.03,21.948040017218315,NNE-NNE,False,VT,VT
196,111,ROP,ROP,530.03,0.004536,21.87882906660878,ROP-ROP,False,CT,CT
172,173,Maine,Maine,107.32,0.03532,21.862443283099882,Maine-Maine,False,ME,ME
45,52,Maine,Maine,652.53,0.008362,21.82790928811574,Maine-Maine,False,ME,ME
21,197,NNE,NNE,150.0,0.053333,21.706387223222574,NNE-NNE,False,NH,NH
200,248,ROP,ROP,530.03,0.00425,21.512430474606266,ROP-ROP,False,WCMA,CT
10,32,Maine,Maine,1000.0,0.02,21.461337348296816,Maine-Maine,False,ME,ME
49,208,Maine,Maine,200.0,0.04,21.15171899506426,Maine-Maine,False,ME,ME
188,13,Maine,Maine,1045.73,0.001949,21.114219827051432,Maine-Maine,False,ME,ME
