Pmax (MW),Pmin (MW),Type,Zone,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,Flag_RPS
45.0,0,Hydro,BC_MD,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
55.6,0,Hydro,BC_MD,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
55.6,0,Hydro,BC_MD,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
36.0,0,Hydro,BC_MD,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
48.0,0,Hydro,BC_MD,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
47.7,0,Hydro,BC_MD,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
36.0,0,Hydro,BC_MD,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
47.7,0,Hydro,BC_MD,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
48.0,0,Hydro,BC_MD,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
55.6,0,Hydro,BC_MD,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
55.6,0,Hydro,BC_MD,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
3.5,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
1.5,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
1.5,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
3.8,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
4.1,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
5.6,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
5.6,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
2.5,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
2.5,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
3.0,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
811.8,0,NuC,AEP_MI,1,0,0,0,9.0,0.0,0.99,1.0,0.0196451613,1
0.6,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.4,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.5,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.4,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.4,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.4,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.4,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.4,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.5,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.5,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.5,0,Hydro,AEP_MI,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
41.9,0,NGCT,AE_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
41.9,0,NGCT,AE_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
53.0,0,NGCT,JC_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
53.0,0,NGCT,JC_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
53.0,0,NGCT,JC_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
53.0,0,NGCT,JC_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
54.0,0,NGCC,PS_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
54.0,0,NGCC,PS_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
54.0,0,NGCC,PS_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
54.0,0,NGCC,PS_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
135.0,0,NGCC,PS_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
161.0,0,NGCT,PS_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
112.5,0,NGCC,RECO_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
112.5,0,NGCC,RECO_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
112.5,0,NGCC,RECO_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
112.5,0,NGCC,RECO_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
