Month,Day,Period,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD,NI
1,11,5,0.440061836,0.475799077,0.525816288,0.622563908,0.525816288,0.622563908,-4190.2
1,11,6,0.495629402,0.544007467,0.582744737,0.688968608,0.582744737,0.688968608,-4308.8
1,11,7,0.597325578,0.636538822,0.672937686,0.767166949,0.672937686,0.767166949,-4596.19
1,11,8,0.666511575,0.690872435,0.712553931,0.822583833,0.712553931,0.822583833,-4986.1
1,11,9,0.677116331,0.677465979,0.679865872,0.811989922,0.679865872,0.811989922,-4961.2
1,11,10,0.654825587,0.626055569,0.618165618,0.775544396,0.618165618,0.775544396,-4563.59
1,11,11,0.609155485,0.576480611,0.57560601,0.739109822,0.57560601,0.739109822,-4360.7
1,11,12,0.577795422,0.537303086,0.536621741,0.70257474,0.536621741,0.70257474,-4379.99
1,11,13,0.554099937,0.512355386,0.50706017,0.669928361,0.50706017,0.669928361,-4576.9
1,11,14,0.535494795,0.496624393,0.485286876,0.629860503,0.485286876,0.629860503,-4593.8
1,11,15,0.530214097,0.490305281,0.482861255,0.620991293,0.482861255,0.620991293,-4448.29
1,11,16,0.537880826,0.512177516,0.513604881,0.615857994,0.513604881,0.615857994,-4156.3
1,11,17,0.587852796,0.578906656,0.598640443,0.666915433,0.598640443,0.666915433,-4787.8
1,11,18,0.661291151,0.667188741,0.682037367,0.752381753,0.682037367,0.752381753,-5261.2
1,11,19,0.656368712,0.68705296,0.709190892,0.769071998,0.709190892,0.769071998,-5199.9
1,11,20,0.635641389,0.68343581,0.707741002,0.77282098,0.707741002,0.77282098,-5266.7
1,11,21,0.609730851,0.670826655,0.698659951,0.767606426,0.698659951,0.767606426,-5081.4
1,11,22,0.577782199,0.634540034,0.679862709,0.731574588,0.679862709,0.731574588,-5059.2
1,11,23,0.5232236,0.578646887,0.634449719,0.691928721,0.634449719,0.691928721,-5008.5
1,11,24,0.47513364,0.531957298,0.600434088,0.645359849,0.600434088,0.645359849,-4546.9
1,12,1,0.441215643,0.503938285,0.579917365,0.621319312,0.579917365,0.621319312,-4774.4
1,12,2,0.417900864,0.489409241,0.574481599,0.604687357,0.574481599,0.604687357,-4916.6
1,12,3,0.416671715,0.484093675,0.572461596,0.595505674,0.572461596,0.595505674,-4870.5
1,12,4,0.419245025,0.483275612,0.574126596,0.597647242,0.574126596,0.597647242,-4840.5
1,12,5,0.435758737,0.507847963,0.59340608,0.618251096,0.59340608,0.618251096,-4991.8
1,12,6,0.49328181,0.562440652,0.605545782,0.652066824,0.605545782,0.652066824,-5114.3
