Month,Day,Period,EKPC_KY,AP_MD,AP_PA,AP_VA,AP_WV,AEP_VA,AEP_WV,AEP_KY,AEP_TN,AEP_OH,AEP_IN,AEP_MI,DPL_MD,DPL_DE,DOM_NC,DOM_VA,DAY_OH,JC_NJ,RECO_NJ,BC_MD,ME_PA,PS_NJ,CE_IL,AE_NJ,OVEC_OH,PE_PA,PL_PA,DEOK_OH,DUQ_PA,PN_PA,PEP_MD,ATSI_PA,ATSI_OH
1,4,10,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475,0.04126475
1,4,11,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743,0.115743
1,4,12,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675,0.1677675
1,4,13,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854,0.168854
1,4,14,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125,0.04975125
1,4,15,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125,0.03800125
1,4,16,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825,0.04428825
1,4,17,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075,0.00386075
1,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
