Pmax (MW),Pmin (MW),Zone,Type,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW)
36,0,PE_MD,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
48,0,PE_MD,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
47.7,0,PE_MD,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
36,0,PE_MD,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
47.7,0,PE_MD,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
48,0,PE_MD,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
55.6,0,PE_MD,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
55.6,0,PE_MD,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
3.5,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
1.5,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
1.5,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
3.8,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
4.1,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
5.6,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
5.6,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
2.5,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
2.5,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
3,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
811.8,0,AEP_MI,NuC,1,0,0,0,9,0,0.99,1,0.035,0,1,1,1,0,0,248
0.6,0,AEP_MI,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
