Month,Day,Period,BGE,APS,PEPCO,DPL,DPL_MD,APS_MD
1,14,16,0.405594546,0,0.405594546,0,0,0
1,14,17,0.417419768,0,0.417419768,0,0,0
1,14,18,0.442918095,0,0.442918095,0,0,0
1,14,19,0.460064195,0,0.460064195,0,0,0
1,14,20,0.536099033,0,0.536099033,0,0,0
1,14,21,0.508182512,0,0.508182512,0,0,0
1,14,22,0.471293143,0,0.471293143,0,0,0
1,14,23,0.351344763,0,0.351344763,0,0,0
1,14,24,0.269751382,0,0.269751382,0,0,0
1,15,1,0.199542626,0,0.199542626,0,0,0
1,15,2,0.12619901,0,0.12619901,0,0,0
1,15,3,0.078880978,0,0.078880978,0,0,0
1,15,4,0.073766493,0,0.073766493,0,0,0
1,15,5,0.065255235,0,0.065255235,0,0,0
1,15,6,0.074822284,0,0.074822284,0,0,0
1,15,7,0.177288829,0,0.177288829,0,0,0
1,15,8,0.328669701,0,0.328669701,0,0,0
1,15,9,0.49132934,0,0.49132934,0,0,0
1,15,10,0.534728939,0,0.534728939,0,0,0
1,15,11,0.511118961,0,0.511118961,0,0,0
1,15,12,0.517002454,0,0.517002454,0,0,0
1,15,13,0.503936714,0,0.503936714,0,0,0
1,15,14,0.517859176,0,0.517859176,0,0,0
1,15,15,0.439798539,0,0.439798539,0,0,0
1,15,16,0.418507627,0,0.418507627,0,0,0
1,15,17,0.428764612,0,0.428764612,0,0,0
1,15,18,0.446908153,0,0.446908153,0,0,0
1,15,19,0.459864404,0,0.459864404,0,0,0
1,15,20,0.532545057,0,0.532545057,0,0,0
1,15,21,0.496750458,0,0.496750458,0,0,0
1,15,22,0.450394429,0,0.450394429,0,0,0
1,15,23,0.336155847,0,0.336155847,0,0,0
1,15,24,0.258855945,0,0.258855945,0,0,0
1,16,1,0.151823235,0,0.151823235,0,0,0
1,16,2,0.111322163,0,0.111322163,0,0,0
1,16,3,0.067389287,0,0.067389287,0,0,0
1,16,4,0.065702426,0,0.065702426,0,0,0
1,16,5,0.086735632,0,0.086735632,0,0,0
1,16,6,0.132893668,0,0.132893668,0,0,0
1,16,7,0.3009806,0,0.3009806,0,0,0
1,16,8,0.43412511,0,0.43412511,0,0,0
1,16,9,0.416645301,0,0.416645301,0,0,0
1,16,10,0.290073349,0,0.290073349,0,0,0
1,16,11,0.321857987,0,0.321857987,0,0,0
1,16,12,0.36094931,0,0.36094931,0,0,0
1,16,13,0.336230868,0,0.336230868,0,0,0
1,16,14,0.325117085,0,0.325117085,0,0,0
1,16,15,0.328078993,0,0.328078993,0,0,0
1,16,16,0.303779899,0,0.303779899,0,0,0
1,16,17,0.322159121,0,0.322159121,0,0,0
1,16,18,0.302803667,0,0.302803667,0,0,0
1,16,19,0.392052579,0,0.392052579,0,0,0
1,16,20,0.413186926,0,0.413186926,0,0,0
1,16,21,0.417745415,0,0.417745415,0,0,0
1,16,22,0.376518566,0,0.376518566,0,0,0
1,16,23,0.303886538,0,0.303886538,0,0,0
1,16,24,0.216918991,0,0.216918991,0,0,0
1,17,1,0.158070063,0,0.158070063,0,0,0
1,17,2,0.121710292,0,0.121710292,0,0,0
1,17,3,0.075234163,0,0.075234163,0,0,0
1,17,4,0.073640878,0,0.073640878,0,0,0
1,17,5,0.096690485,0,0.096690485,0,0,0
1,17,6,0.148042851,0,0.148042851,0,0,0
1,17,7,0.353271147,0,0.353271147,0,0,0
1,17,8,0.488813198,0,0.488813198,0,0,0
1,17,9,0.452793913,0,0.452793913,0,0,0
1,17,10,0.316254406,0,0.316254406,0,0,0
1,17,11,0.34302214,0,0.34302214,0,0,0
1,17,12,0.384176155,0,0.384176155,0,0,0
1,17,13,0.366735346,0,0.366735346,0,0,0
1,17,14,0.366083271,0,0.366083271,0,0,0
1,17,15,0.375055174,0,0.375055174,0,0,0
1,17,16,0.356900163,0,0.356900163,0,0,0
1,17,17,0.378174694,0,0.378174694,0,0,0
1,17,18,0.340085112,0,0.340085112,0,0,0
1,17,19,0.428785351,0,0.428785351,0,0,0
1,17,20,0.449087533,0,0.449087533,0,0,0
1,17,21,0.454581381,0,0.454581381,0,0,0
1,17,22,0.417821826,0,0.417821826,0,0,0
1,17,23,0.331005126,0,0.331005126,0,0,0
1,17,24,0.238379241,0,0.238379241,0,0,0
1,18,1,0.147737856,0,0.147737856,0,0,0
1,18,2,0.113048919,0,0.113048919,0,0,0
1,18,3,0.0682926,0,0.0682926,0,0,0
1,18,4,0.066827616,0,0.066827616,0,0,0
1,18,5,0.090176226,0,0.090176226,0,0,0
1,18,6,0.14074671,0,0.14074671,0,0,0
1,18,7,0.373584632,0,0.373584632,0,0,0
1,18,8,0.509877803,0,0.509877803,0,0,0
1,18,9,0.460026913,0,0.460026913,0,0,0
1,18,10,0.294870424,0,0.294870424,0,0,0
1,18,11,0.297673643,0,0.297673643,0,0,0
1,18,12,0.3237304,0,0.3237304,0,0,0
1,18,13,0.294643206,0,0.294643206,0,0,0
1,18,14,0.280652315,0,0.280652315,0,0,0
1,18,15,0.28209369,0,0.28209369,0,0,0
1,18,16,0.260568191,0,0.260568191,0,0,0
1,18,17,0.282115455,0,0.282115455,0,0,0
1,18,18,0.329126076,0,0.329126076,0,0,0
1,18,19,0.414762151,0,0.414762151,0,0,0
1,18,20,0.438013772,0,0.438013772,0,0,0
1,18,21,0.447021478,0,0.447021478,0,0,0
1,18,22,0.418633541,0,0.418633541,0,0,0
1,18,23,0.285295379,0,0.285295379,0,0,0
1,18,24,0.197305172,0,0.197305172,0,0,0
1,19,1,0.146818934,0,0.146818934,0,0,0
1,19,2,0.112001849,0,0.112001849,0,0,0
1,19,3,0.067738164,0,0.067738164,0,0,0
1,19,4,0.066326033,0,0.066326033,0,0,0
1,19,5,0.088665519,0,0.088665519,0,0,0
1,19,6,0.137285412,0,0.137285412,0,0,0
1,19,7,0.336894805,0,0.336894805,0,0,0
1,19,8,0.481446292,0,0.481446292,0,0,0
1,19,9,0.437777624,0,0.437777624,0,0,0
1,19,10,0.289472755,0,0.289472755,0,0,0
1,19,11,0.30869458,0,0.30869458,0,0,0
1,19,12,0.344829626,0,0.344829626,0,0,0
1,19,13,0.31769169,0,0.31769169,0,0,0
1,19,14,0.307712099,0,0.307712099,0,0,0
1,19,15,0.313105623,0,0.313105623,0,0,0
1,19,16,0.292457846,0,0.292457846,0,0,0
1,19,17,0.311201269,0,0.311201269,0,0,0
1,19,18,0.290655522,0,0.290655522,0,0,0
1,19,19,0.378773214,0,0.378773214,0,0,0
1,19,20,0.400980478,0,0.400980478,0,0,0
1,19,21,0.406435386,0,0.406435386,0,0,0
1,19,22,0.368137213,0,0.368137213,0,0,0
1,19,23,0.298622689,0,0.298622689,0,0,0
1,19,24,0.212724817,0,0.212724817,0,0,0
1,20,1,0.152955256,0,0.152955256,0,0,0
1,20,2,0.117953479,0,0.117953479,0,0,0
1,20,3,0.072649436,0,0.072649436,0,0,0
1,20,4,0.07182765,0,0.07182765,0,0,0
1,20,5,0.096094777,0,0.096094777,0,0,0
1,20,6,0.148939337,0,0.148939337,0,0,0
1,20,7,0.352951552,0,0.352951552,0,0,0
1,20,8,0.493770688,0,0.493770688,0,0,0
1,20,9,0.453383909,0,0.453383909,0,0,0
1,20,10,0.308192246,0,0.308192246,0,0,0
1,20,11,0.335532736,0,0.335532736,0,0,0
1,20,12,0.37346148,0,0.37346148,0,0,0
1,20,13,0.349868727,0,0.349868727,0,0,0
1,20,14,0.341072281,0,0.341072281,0,0,0
1,20,15,0.348359613,0,0.348359613,0,0,0
1,20,16,0.327069302,0,0.327069302,0,0,0
1,20,17,0.345482182,0,0.345482182,0,0,0
1,20,18,0.303297852,0,0.303297852,0,0,0
1,20,19,0.386205124,0,0.386205124,0,0,0
1,20,20,0.402372071,0,0.402372071,0,0,0
1,20,21,0.405728681,0,0.405728681,0,0,0
1,20,22,0.37009716,0,0.37009716,0,0,0
1,20,23,0.306976496,0,0.306976496,0,0,0
1,20,24,0.224653083,0,0.224653083,0,0,0
1,21,1,0.20672461,0,0.20672461,0,0,0
1,21,2,0.137533098,0,0.137533098,0,0,0
1,21,3,0.086162641,0,0.086162641,0,0,0
1,21,4,0.078919093,0,0.078919093,0,0,0
1,21,5,0.069436746,0,0.069436746,0,0,0
1,21,6,0.080337301,0,0.080337301,0,0,0
1,21,7,0.193753651,0,0.193753651,0,0,0
1,21,8,0.337960346,0,0.337960346,0,0,0
1,21,9,0.501576831,0,0.501576831,0,0,0
1,21,10,0.546457723,0,0.546457723,0,0,0
1,21,11,0.535327886,0,0.535327886,0,0,0
1,21,12,0.535084647,0,0.535084647,0,0,0
1,21,13,0.522901745,0,0.522901745,0,0,0
1,21,14,0.537176426,0,0.537176426,0,0,0
1,21,15,0.469713323,0,0.469713323,0,0,0
1,21,16,0.451535949,0,0.451535949,0,0,0
1,21,17,0.46523588,0,0.46523588,0,0,0
1,21,18,0.466729095,0,0.466729095,0,0,0
1,21,19,0.485225405,0,0.485225405,0,0,0
1,21,20,0.554198935,0,0.554198935,0,0,0
1,21,21,0.521592078,0,0.521592078,0,0,0
1,21,22,0.479557793,0,0.479557793,0,0,0
1,21,23,0.345636663,0,0.345636663,0,0,0
1,21,24,0.26757032,0,0.26757032,0,0,0
1,22,1,0.220778206,0,0.220778206,0,0,0
1,22,2,0.145603856,0,0.145603856,0,0,0
1,22,3,0.093066571,0,0.093066571,0,0,0
1,22,4,0.086752885,0,0.086752885,0,0,0
1,22,5,0.076694736,0,0.076694736,0,0,0
1,22,6,0.087999621,0,0.087999621,0,0,0
1,22,7,0.189796176,0,0.189796176,0,0,0
1,22,8,0.344063482,0,0.344063482,0,0,0
1,22,9,0.511003283,0,0.511003283,0,0,0
1,22,10,0.566054868,0,0.566054868,0,0,0
1,22,11,0.556425806,0,0.556425806,0,0,0
1,22,12,0.555675621,0,0.555675621,0,0,0
1,22,13,0.546610169,0,0.546610169,0,0,0
1,22,14,0.566987985,0,0.566987985,0,0,0
1,22,15,0.499937687,0,0.499937687,0,0,0
1,22,16,0.483048976,0,0.483048976,0,0,0
1,22,17,0.492379419,0,0.492379419,0,0,0
1,22,18,0.464613949,0,0.464613949,0,0,0
1,22,19,0.481694202,0,0.481694202,0,0,0
1,22,20,0.551988891,0,0.551988891,0,0,0
1,22,21,0.516071569,0,0.516071569,0,0,0
1,22,22,0.466105648,0,0.466105648,0,0,0
1,22,23,0.360322023,0,0.360322023,0,0,0
1,22,24,0.279556276,0,0.279556276,0,0,0
1,23,1,0.15060204,0,0.15060204,0,0,0
1,23,2,0.110254741,0,0.110254741,0,0,0
1,23,3,0.066967175,0,0.066967175,0,0,0
