Time Period,Month,Day,Hours,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD
1,1,11,23,0.0,0.0,0.0,0.0,0.0,0.0
1,1,11,24,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12,2,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12,3,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12,4,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12,5,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12,6,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12,7,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12,8,0.018073468,0.018073468,0.018073468,0.00340008,0.018073468,0.00340008
1,1,12,9,0.206454352,0.206454352,0.206454352,0.091784749,0.206454352,0.091784749
1,1,12,10,0.492285701,0.492285701,0.492285701,0.346450564,0.492285701,0.346450564
1,1,12,11,0.645569128,0.645569128,0.645569128,0.420842536,0.645569128,0.420842536
1,1,12,12,0.678977348,0.678977348,0.678977348,0.430476359,0.678977348,0.430476359
1,1,12,13,0.638836211,0.638836211,0.638836211,0.395502528,0.638836211,0.395502528
1,1,12,14,0.55053235,0.55053235,0.55053235,0.295476264,0.55053235,0.295476264
1,1,12,15,0.41751634,0.41751634,0.41751634,0.220123915,0.41751634,0.220123915
1,1,12,16,0.219967108,0.219967108,0.219967108,0.174350203,0.219967108,0.174350203
1,1,12,17,0.035883708,0.035883708,0.035883708,0.071949105,0.035883708,0.071949105
1,1,12,18,0.0,0.0,0.0,0.000596477,0.0,0.000596477
1,1,12,19,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12,20,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12,21,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12,22,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12,23,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12,24,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13,2,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13,3,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13,4,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13,5,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13,6,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13,7,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13,8,0.016749316,0.016749316,0.016749316,0.001647037,0.016749316,0.001647037
1,1,13,9,0.148175658,0.148175658,0.148175658,0.051214789,0.148175658,0.051214789
1,1,13,10,0.374370971,0.374370971,0.374370971,0.20880983,0.374370971,0.20880983
1,1,13,11,0.476522917,0.476522917,0.476522917,0.226294372,0.476522917,0.226294372
1,1,13,12,0.521840491,0.521840491,0.521840491,0.301255925,0.521840491,0.301255925
1,1,13,13,0.44337907,0.44337907,0.44337907,0.268465487,0.44337907,0.268465487
1,1,13,14,0.362573775,0.362573775,0.362573775,0.293807077,0.362573775,0.293807077
1,1,13,15,0.232864139,0.232864139,0.232864139,0.308242781,0.232864139,0.308242781
1,1,13,16,0.133557344,0.133557344,0.133557344,0.273580637,0.133557344,0.273580637
1,1,13,17,0.024908242,0.024908242,0.024908242,0.133416344,0.024908242,0.133416344
1,1,13,18,0.0,0.0,0.0,0.007361829,0.0,0.007361829
1,1,13,19,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13,20,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13,21,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13,22,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13,23,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13,24,0.0,0.0,0.0,0.0,0.0,0.0
1,1,14,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,14,2,0.0,0.0,0.0,0.0,0.0,0.0
1,1,14,3,0.0,0.0,0.0,0.0,0.0,0.0
1,1,14,4,0.0,0.0,0.0,0.0,0.0,0.0
1,1,14,5,0.0,0.0,0.0,0.0,0.0,0.0
1,1,14,6,0.0,0.0,0.0,0.0,0.0,0.0
1,1,14,7,0.0,0.0,0.0,0.0,0.0,0.0
1,1,14,8,0.009657037,0.009657037,0.009657037,0.001295796,0.009657037,0.001295796
1,1,14,9,0.128996632,0.128996632,0.128996632,0.042985931,0.128996632,0.042985931
1,1,14,10,0.316622166,0.316622166,0.316622166,0.124684357,0.316622166,0.124684357
1,1,14,11,0.552373802,0.552373802,0.552373802,0.170802982,0.552373802,0.170802982
1,1,14,12,0.626614418,0.626614418,0.626614418,0.16956098,0.626614418,0.16956098
1,1,14,13,0.648589384,0.648589384,0.648589384,0.205330642,0.648589384,0.205330642
1,1,14,14,0.5978207,0.5978207,0.5978207,0.191967648,0.5978207,0.191967648
1,1,14,15,0.465492517,0.465492517,0.465492517,0.172040238,0.465492517,0.172040238
1,1,14,16,0.258840171,0.258840171,0.258840171,0.102312497,0.258840171,0.102312497
1,1,14,17,0.049623069,0.049623069,0.049623069,0.046762567,0.049623069,0.046762567
1,1,14,18,0.0,0.0,0.0,0.0002041,0.0,0.0002041
1,1,14,19,0.0,0.0,0.0,0.0,0.0,0.0
1,1,14,20,0.0,0.0,0.0,0.0,0.0,0.0
1,1,14,21,0.0,0.0,0.0,0.0,0.0,0.0
1,1,14,22,0.0,0.0,0.0,0.0,0.0,0.0
1,1,14,23,0.0,0.0,0.0,0.0,0.0,0.0
1,1,14,24,0.0,0.0,0.0,0.0,0.0,0.0
1,1,15,1,0.0,0.0,0.0,0.0,0.0,0.0
