Month,Day,Period,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD
1,10,13,0.679400007,0.679400007,0.679400007,0.503339729,0.679400007,0.503339729
1,10,14,0.668635718,0.668635718,0.668635718,0.587440785,0.668635718,0.587440785
1,10,15,0.61584095,0.61584095,0.61584095,0.640397249,0.61584095,0.640397249
1,10,16,0.662209624,0.662209624,0.662209624,0.639354442,0.662209624,0.639354442
1,10,17,0.670792682,0.670792682,0.670792682,0.62981752,0.670792682,0.62981752
1,10,18,0.679457875,0.679457875,0.679457875,0.565330514,0.679457875,0.565330514
1,10,19,0.709188707,0.709188707,0.709188707,0.530106562,0.709188707,0.530106562
1,10,20,0.761886406,0.761886406,0.761886406,0.523494231,0.761886406,0.523494231
1,10,21,0.822249683,0.822249683,0.822249683,0.487058304,0.822249683,0.487058304
1,10,22,0.884721391,0.884721391,0.884721391,0.427795749,0.884721391,0.427795749
1,10,23,0.912311126,0.912311126,0.912311126,0.34975273,0.912311126,0.34975273
1,10,24,0.909220814,0.909220814,0.909220814,0.249208309,0.909220814,0.249208309
1,11,1,0.919119891,0.919119891,0.919119891,0.176054715,0.919119891,0.176054715
1,11,2,0.854989626,0.854989626,0.854989626,0.123900231,0.854989626,0.123900231
1,11,3,0.825796402,0.825796402,0.825796402,0.104087738,0.825796402,0.104087738
1,11,4,0.781258021,0.781258021,0.781258021,0.091666773,0.781258021,0.091666773
1,11,5,0.789217603,0.789217603,0.789217603,0.095757035,0.789217603,0.095757035
1,11,6,0.746281779,0.746281779,0.746281779,0.124239668,0.746281779,0.124239668
1,11,7,0.617917647,0.617917647,0.617917647,0.17966908,0.617917647,0.17966908
1,11,8,0.499528193,0.499528193,0.499528193,0.242677683,0.499528193,0.242677683
1,11,9,0.367322405,0.367322405,0.367322405,0.304147737,0.367322405,0.304147737
1,11,10,0.311322525,0.311322525,0.311322525,0.370009026,0.311322525,0.370009026
1,11,11,0.191116778,0.191116778,0.191116778,0.436501903,0.191116778,0.436501903
1,11,12,0.151092996,0.151092996,0.151092996,0.528631098,0.151092996,0.528631098
1,11,13,0.127071447,0.127071447,0.127071447,0.622903237,0.127071447,0.622903237
1,11,14,0.089307298,0.089307298,0.089307298,0.686865839,0.089307298,0.686865839
1,11,15,0.048519105,0.048519105,0.048519105,0.749695843,0.048519105,0.749695843
1,11,16,0.026035712,0.026035712,0.026035712,0.774817432,0.026035712,0.774817432
1,11,17,0.024654358,0.024654358,0.024654358,0.788427221,0.024654358,0.788427221
1,11,18,0.064369202,0.064369202,0.064369202,0.806295826,0.064369202,0.806295826
1,11,19,0.186794448,0.186794448,0.186794448,0.811180719,0.186794448,0.811180719
1,11,20,0.375899863,0.375899863,0.375899863,0.818631779,0.375899863,0.818631779
1,11,21,0.554562993,0.554562993,0.554562993,0.830465989,0.554562993,0.830465989
