transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,s_nom,geometry
virtual_way/107175372:0-380-220,virtual_way/107175372:0-380,virtual_way/107175372:0-220,380,220,3397,'LINESTRING (6.70405241 51.55849942, 6.70376059 51.55830038)'
virtual_way/107175828:0-380-220,virtual_way/107175828:0-380,virtual_way/107175828:0-220,380,220,3397,'LINESTRING (6.64653254 51.60721639, 6.64624066 51.60701721)'
virtual_way/107175828:1-380-220,virtual_way/107175828:1-380,virtual_way/107175828:1-220,380,220,3397,'LINESTRING (6.65978005 51.59964748, 6.65948816 51.59944832)'
virtual_way/107244437:0-220-150,virtual_way/107244437:0-220,virtual_way/107244437:0-150,220,150,492,'LINESTRING (9.61161175 46.58190337, 9.61137111 46.58206792)'
virtual_way/107244437:0-380-150,virtual_way/209181215:1-380,virtual_way/107244437:0-150,380,150,1699,'LINESTRING (9.61169774 46.58212966, 9.61137111 46.58206792)'
virtual_way/107244437:0-380-220,virtual_way/209181215:1-380,virtual_way/107244437:0-220,380,220,1699,'LINESTRING (9.61169774 46.58212966, 9.61161175 46.58190337)'
virtual_way/109505609:0-380-220,virtual_relation/1109593:a:1-380,virtual_way/109083561:0-220,380,220,10189,'LINESTRING (7.36795125 51.62896995, 7.36765611 51.62877256)'
virtual_way/1098227268:0-400-220,virtual_way/1098227418:1-400,virtual_way/1098227271:1-220,400,220,2458,'LINESTRING (14.90934425 50.95008719, 14.90902283 50.94990979)'
virtual_way/1118659219:1-380-220,virtual_way/1118659219:1-380,virtual_way/1118659219:1-220,380,220,3397,'LINESTRING (6.82126055 50.93529908, 6.82097206 50.93510032)'
virtual_way/1131994897:1-145-132,virtual_way/51010900:0-145,virtual_way/1131994897:1-132,145,132,162,'LINESTRING (13.24190507 60.45057508, 13.24150253 60.45039312)'
virtual_way/118655806:1-225-220,virtual_way/118655806:1-225,virtual_way/204804555:1-220,225,220,503,'LINESTRING (4.76553878 50.13867169, 4.76526362 50.13846791)'
virtual_way/118991395:0-420-132,virtual_way/118991395:0-420,virtual_way/588161633:1-132,420,132,7508,'LINESTRING (15.43531011 67.10029969, 15.43478587 67.10012351)'
virtual_way/119019122:0-400-380,virtual_way/119019122:0-400,virtual_way/199901909:1-380,400,380,1788,'LINESTRING (17.09997852 47.90989508, 17.09966948 47.90972352)'
virtual_way/1236351095:0-400-132,virtual_way/126987035:0-400,virtual_way/216879727:0-132,400,132,5363,'LINESTRING (-1.05408585 39.21361072, -1.0542961 39.21339296)'
virtual_way/1257912689:1-400-150,virtual_way/1426279070:1-400,virtual_way/1257912689:1-150,400,150,1788,'LINESTRING (-8.09253155 41.6886344, -8.09272397 41.68840324)'
virtual_way/1264466168:1-380-220,virtual_way/22980164:1-380,virtual_way/617568395:0-220,380,220,5095,'LINESTRING (13.51501578 52.61950085, 13.51468766 52.61931969)'
virtual_way/127528721:1-220-132,virtual_way/127528721:1-220,virtual_way/127249086:1-132,220,132,1475,'LINESTRING (-0.46487368 39.56130449, -0.4650868 39.56108802)'
virtual_way/1278052879:0-420-300,virtual_way/1278052879:0-420,virtual_way/158612365:0-300,420,300,7508,'LINESTRING (7.04900769 61.18174033, 7.04863249 61.18154153)'
virtual_way/1306502956:0-220-132,virtual_way/1306502956:0-220,virtual_way/100770982:1-132,220,132,984,'LINESTRING (10.91652814 43.26479026, 10.91626461 43.26460114)'
virtual_way/1323054981:0-400-150,virtual_way/1323054981:0-400,virtual_way/1323054981:0-150,400,150,1788,'LINESTRING (-7.77735517 37.35351313, -7.77753943 37.35328187)'
virtual_way/1346026649:1-400-225,virtual_way/1346026649:1-400,virtual_way/86148821:0-225,400,225,1788,'LINESTRING (0.71693767 47.48103995, 0.71669233 47.48082684)'
virtual_way/1358358312:1-400-132,virtual_way/260017341:a:1-400,virtual_way/1358358312:1-132,400,132,5363,'LINESTRING (-3.05175027 40.04286999, -3.05195621 40.04264826)'
virtual_way/136215272:0-138-132,virtual_way/136215268:1-138,virtual_way/136215272:0-132,138,132,295,'LINESTRING (-0.33098192 40.04450405, -0.33119688 40.04428795)'
virtual_way/1369190556:0-220-132,virtual_way/1369190556:0-220,virtual_way/1369190556:0-132,220,132,492,'LINESTRING (-0.88588996 41.37627464, -0.88610704 41.37605756)'
virtual_way/1369190558:1-220-132,virtual_way/1369190558:1-220,virtual_way/1029030012:0-132,220,132,492,'LINESTRING (-0.82341229 41.54420872, -0.82363011 41.54399179)'
virtual_way/137265337:1-400-150,virtual_way/137265337:1-400,virtual_way/151077566:1-150,400,150,5363,'LINESTRING (-8.37406308 41.40530804, -8.37425382 41.40507634)'
