bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
relation/12678808-132,132,f,Substation,f,relation/12678808,6.12159259,58.89769032,NO,POINT (6.12159259 58.89769032)
relation/12688327-132,132,f,Substation,f,relation/12688327,-5.03048771,51.68145612,GB,POINT (-5.03048771 51.68145612)
relation/12691320-132,132,f,Substation,f,relation/12691320,-2.56584663,51.44913166,GB,POINT (-2.56584663 51.44913166)
relation/12692055-132,132,f,Substation,f,relation/12692055,-2.2423845,53.02933911,GB,POINT (-2.2423845 53.02933911)
relation/12692056-132,132,f,Substation,f,relation/12692056,-2.17679773,53.07999975,GB,POINT (-2.17679773 53.07999975)
relation/12698636-132,132,f,Substation,f,relation/12698636,-2.16853904,53.01283743,GB,POINT (-2.16853904 53.01283743)
relation/12796302-132,132,f,Substation,f,relation/12796302,5.09381598,60.35021212,NO,POINT (5.09381598 60.35021212)
relation/12832053,515,t,Substation,f,relation/12832053,6.654928160547617,59.53019486972904,NO,POINT (6.654928160547617 59.530194869729044)
relation/12832053-420,420,f,Substation,f,relation/12832052,6.65477856,59.5298075,NO,POINT (6.65477856 59.5298075)
relation/12841365-132,132,f,Substation,f,relation/12841365,-1.40059855,52.90529347,GB,POINT (-1.40059855 52.90529347)
relation/12884169-132,132,f,Substation,f,relation/12884169,14.2073319,42.44042809,IT,POINT (14.2073319 42.44042809)
relation/12884169-150,150,f,Substation,f,way/157811788,14.20760197,42.44060866,IT,POINT (14.20760197 42.44060866)
relation/12969006-300,300,f,Substation,f,relation/12969006,5.55158955,59.27358607,NO,POINT (5.55158955 59.27358607)
relation/13009239-132,132,f,Substation,f,relation/13009239,20.35839032,69.31524616,NO,POINT (20.35839032 69.31524616)
relation/13020240-150,150,f,Substation,f,way/436354064,12.47808336,41.86804746,IT,POINT (12.47808336 41.86804746)
relation/13020240-220,220,f,Substation,f,relation/13020240,12.47834558,41.86823275,IT,POINT (12.47834558 41.86823275)
relation/13070717-150,150,f,Substation,f,relation/13070717,14.01704192,42.26938269,IT,POINT (14.01704192 42.26938269)
relation/13110367-400,400,f,Substation,f,relation/13110367,-4.98948174,51.68238463,GB,POINT (-4.98948174 51.68238463)
relation/13155548-132,132,f,Substation,f,relation/13155548,8.59198803,58.368988,NO,POINT (8.59198803 58.368988)
relation/13168284-132,132,f,Substation,f,relation/13168284,11.10306287,42.77505738,IT,POINT (11.10306287 42.77505738)
relation/13260100-225,225,f,Substation,f,relation/13260100,0.14961434,49.47462362,FR,POINT (0.14961434 49.47462362)
relation/13260100-400,400,f,Substation,f,way/118244194,0.14986633,49.47483792,FR,POINT (0.14986633 49.47483792)
relation/13260224-225,225,f,Substation,f,relation/13260224,2.27935431,51.0122437,FR,POINT (2.27935431 51.0122437)
relation/13282827-132,132,f,Substation,f,relation/13282827,12.09815031,57.93595099,SE,POINT (12.09815031 57.93595099)
relation/13284557-132,132,f,Substation,f,relation/13284557,9.53225362,59.20622381,NO,POINT (9.53225362 59.20622381)
relation/13284559-132,132,f,Substation,f,relation/13284559,9.49738203,59.12677039,NO,POINT (9.49738203 59.12677039)
relation/13284560-132,132,f,Substation,f,relation/13284560,9.05718053,59.14082132,NO,POINT (9.05718053 59.14082132)
relation/13307505-132,132,f,Substation,f,relation/13307505,6.38778678,62.59868143,NO,POINT (6.38778678 62.59868143)
relation/13383233-132,132,f,Substation,f,relation/13383233,12.02883688,57.78427955,SE,POINT (12.02883688 57.78427955)
relation/13405042-132,132,f,Substation,f,relation/13405042,6.48198626,61.57642897,NO,POINT (6.48198626 61.57642897)
relation/13418254-132,132,f,Substation,f,relation/13418254,5.05790362,60.4961187,NO,POINT (5.05790362 60.4961187)
relation/13418255-132,132,f,Substation,f,relation/13418255,5.077972,60.48850552,NO,POINT (5.077972 60.48850552)
relation/13447790-132,132,f,Substation,f,relation/13447790,6.01596572,61.44616752,NO,POINT (6.01596572 61.44616752)
relation/13447790-420,420,f,Substation,f,relation/13447791,6.01633754,61.44636898,NO,POINT (6.01633754 61.44636898)
relation/13532879-132,132,f,Substation,f,relation/13532879,11.88286236,57.70946296,SE,POINT (11.88286236 57.70946296)
relation/13534535-132,132,f,Substation,f,relation/13534535,11.68696835,63.02986948,NO,POINT (11.68696835 63.02986948)
relation/13534535-420,420,f,Substation,f,relation/8527323,11.68739604,63.03005607,NO,POINT (11.68739604 63.03005607)
relation/13565861-132,132,f,Substation,f,relation/13565861,13.41705967,57.15893679,SE,POINT (13.41705967 57.15893679)
relation/13575335-132,132,f,Substation,f,relation/13575335,15.27241601,59.11733945,SE,POINT (15.27241601 59.11733945)
relation/13578433-132,132,f,Substation,f,relation/13578433,-2.34032984,53.55122748,GB,POINT (-2.34032984 53.55122748)
relation/13585827-132,132,f,Substation,f,relation/13585827,12.87467087,59.11855355,SE,POINT (12.87467087 59.11855355)
relation/13588510-132,132,f,Substation,f,relation/13588510,13.49817173,59.52393816,SE,POINT (13.49817173 59.52393816)
relation/13588511-132,132,f,Substation,f,relation/13588511,13.49800742,59.37393457,SE,POINT (13.49800742 59.37393457)
relation/13588514-132,132,f,Substation,f,relation/13588514,13.43765387,59.34806956,SE,POINT (13.43765387 59.34806956)
relation/13592679-132,132,f,Substation,f,relation/13592679,14.23619025,59.31591452,SE,POINT (14.23619025 59.31591452)
relation/13595709-132,132,f,Substation,f,relation/13595709,14.22313631,59.17577629,SE,POINT (14.22313631 59.17577629)
relation/13704797-132,132,f,Substation,f,relation/13704797,11.9677932,57.58767643,SE,POINT (11.9677932 57.58767643)
relation/13764183-132,132,f,Substation,f,relation/13764183,11.8719461,57.72706181,SE,POINT (11.8719461 57.72706181)
relation/1377432-220,220,f,Substation,f,relation/1377432,10.88155704,45.8827914,IT,POINT (10.88155704 45.8827914)
relation/13794556-132,132,f,Substation,f,relation/13794556,7.17909395,62.74417324,NO,POINT (7.17909395 62.74417324)
